Plot Idnum ,old plot num,Year,Rep,Treatment-num,Treatment_st,Fert,Fert_st,Tillage,Tillage_st,Leaf_N_per,Leaf_P_per,Leaf_K_per,Leaf_Ca_per,Leaf_Mg_per,Leaf_S_per,Leaf_B_ppm,Leaf_Fe_ppm,Leaf_Mn_ppm,Leaf_Cu_ppm,Leaf_Zn_ppm,Leaf_Al_ppm,Leaf_Na_ppm
407,402-2,2014,4,7,AT_N,2,N_only,2,Alt,3.32,0.231,1.14,0.66,0.384,0.206,6.6,92.5,64.6,12,23.6,39.8,
408,403-2,2014,4,8,AT_NwNPK,3,NplusNPKst,2,Alt,3.28,0.305,2.14,0.5,0.206,0.202,6.7,89.8,53,11.4,21.5,41.4,
409,404-2,2014,4,9,AT_NPK,4,NPK,2,Alt,3.22,0.292,2.23,0.48,0.162,0.195,7,86.3,52.7,11.2,19.3,39.9,
410,405-2,2014,4,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,3.67,0.293,2.27,0.49,0.161,0.192,6,85.5,41,10.9,18.4,36.3,
411,401-3,2014,4,11,RT_ctrl,1,Control,3,Chisel,3,0.214,1.25,0.63,0.369,0.198,5.9,82.4,40,11.6,20.9,39.7,
412,402-3,2014,4,12,RT_N,2,N_only,3,Chisel,2.71,0.217,1.12,0.59,0.393,0.197,6,82.2,56.3,12.1,24.7,33.6,
413,403-3,2014,4,13,RT_NwNPK,3,NplusNPKst,3,Chisel,3.09,0.225,1.6,0.63,0.206,0.218,5.1,83.7,47,10.7,18.3,30.4,
414,404-3,2014,4,14,RT_NPK,4,NPK,3,Chisel,3.2,0.27,1.77,0.56,0.204,0.195,6.2,85.6,54.2,12.1,24,34.1,
415,405-3,2014,4,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,3.06,0.307,2.3,0.53,0.186,0.205,5.6,89.8,45.1,13.7,23.2,32.4,
416,401-4,2014,4,16,NT_ctrl,1,Control,4,No_till,3.23,0.268,0.82,0.7,0.455,0.203,6.1,81.2,47.5,14.1,27.3,36.1,
417,402-4,2014,4,17,NT_N,2,N_only,4,No_till,2.8,0.216,0.85,0.57,0.372,0.169,5.8,69.9,38.7,11.4,23.9,32.7,
